distance_bp	observed_count	geometric_null_expected	observed_over_expected_ratio
0	6969	38333.62	0.1818
5	4839	38333.62	0.1262
10	2644	38333.62	0.0690
15	2496	38333.62	0.0651
20	5721	38333.62	0.1492
25	7280	38333.62	0.1899
30	3909	38333.62	0.1020
35	3893	38333.62	0.1016
40	10041	38333.62	0.2619
45	14288	38333.62	0.3727
50	77661	38333.62	2.0259
55	164747	38333.62	4.2977
60	30468	38333.62	0.7948
65	13270	38333.62	0.3462
70	6378	38333.62	0.1664
75	13717	38333.62	0.3578
80	40531	38333.62	1.0573
85	118308	38333.62	3.0863
90	112228	19166.81	5.8553
95	101955	19166.81	5.3194
100	125421	19166.81	6.5437
105	34021	19166.81	1.7750
110	27193	19166.81	1.4188
115	17965	19166.81	0.9373
120	12629	19166.81	0.6589
125	9201	19166.81	0.4800
130	8491	19166.81	0.4430
135	7247	19166.81	0.3781
140	8197	19166.81	0.4277
145	7499	19166.81	0.3912
150	4861	19166.81	0.2536
155	4675	19166.81	0.2439
160	6477	19166.81	0.3379
165	6368	19166.81	0.3322
170	3059	19166.81	0.1596
175	2291	3833.36	0.5976
180	1218	3833.36	0.3177
185	1628	3833.36	0.4247
190	2675	3833.36	0.6978
195	3149	3833.36	0.8215
200	3233	3833.36	0.8434
