distance_to_dyad_bp	count
0	6969
5	4839
10	2644
15	2496
20	5721
25	7280
30	3909
35	3893
40	10041
45	14288
50	77661
55	164747
60	30468
65	13270
70	6378
75	13717
80	40531
85	118308
90	112228
95	101955
100	125421
105	34021
110	27193
115	17965
120	12629
125	9201
130	8491
135	7247
140	8197
145	7499
150	4861
155	4675
160	6477
165	6368
170	3059
175	2291
180	1218
185	1628
190	2675
195	3149
200	3233
205	3659
210	3590
215	5931
220	10366
225	14556
230	10608
235	32624
240	42483
245	25051
250	37511
255	12922
260	4193
265	5320
270	7493
275	8946
280	30394
285	16596
290	4291
295	3208
300	211
