distance_bp	cdr_count	noncdr_count
0	1853806	10587958
5	1015009	1587618
10	606739	509279
15	337577	283209
20	367211	293380
25	315631	236916
30	447877	324819
35	347373	254943
40	422665	308587
45	391323	275524
50	291842	207530
55	157347	119891
60	182952	132664
65	123399	95596
70	133676	109964
75	100018	81113
80	126508	93050
85	94539	71080
90	118675	86527
95	106960	75384
100	141449	97509
105	124613	88660
110	208843	133165
115	174984	107398
120	151886	103477
125	126479	88081
130	162915	115936
135	165738	127401
140	404148	299432
145	465961	313860
150	524843	383013
155	343432	248740
160	331551	262250
165	229824	180361
170	309708	243818
175	220755	169110
180	314122	234244
185	322885	251325
190	474147	358977
195	397695	297817
200	332364	260732
205	146618	120603
210	153699	134320
215	124418	107427
220	139564	115272
225	156785	112980
230	158290	123626
235	89412	74050
240	96938	83677
245	72224	62922
250	83882	70275
255	71407	58540
260	92687	73288
265	71462	59232
270	93367	76462
275	82545	69723
280	106582	88580
285	99670	80904
290	181039	141288
295	238482	163427
300	288104	216446
305	201143	160930
310	260030	195638
315	188349	141536
320	220453	178910
325	182686	164785
330	320113	269686
335	406852	323830
340	761698	591711
345	341817	302124
350	253219	250989
355	160785	156315
360	189752	181094
365	159800	150560
370	214510	202711
375	156674	157497
380	198302	196329
385	171199	164709
390	128445	132059
395	84292	83759
400	90752	89257
405	63803	64704
410	70169	72848
415	54953	57336
420	69093	65625
425	50875	53400
430	63126	64048
435	57910	55660
440	77682	76598
445	78199	71661
450	130777	110158
455	127333	97525
460	111684	105796
465	95879	94665
470	121712	125431
475	119827	121595
480	277796	257552
485	269982	262978
490	300279	308040
495	187570	207375
500	202135	223107
505	152623	167062
510	206286	239638
515	149224	171872
520	201750	225575
525	187094	224058
530	272787	313576
535	220040	244636
540	173950	215196
545	88910	112603
550	95248	134500
555	71775	91061
560	79036	100014
565	84257	95854
570	86154	102116
575	50883	65451
580	55920	70491
585	45945	55440
590	47789	60939
595	38992	50282
600	53367	65205
605	42036	50381
610	54861	69335
615	51429	61892
620	77600	87968
625	66165	79978
630	110508	126562
635	135515	146325
640	142000	176544
645	110295	142218
650	153850	182562
655	117135	142258
660	137424	176306
665	113666	157249
670	179227	245661
675	233530	290961
680	420122	550302
685	186934	273108
690	151062	232466
695	96652	146885
700	123268	183513
705	100066	155636
710	125374	198544
715	83406	131741
720	107671	167575
725	90514	138276
730	69645	114053
735	42404	71935
740	51082	83190
745	39679	60525
750	42886	66231
755	33967	51884
760	39470	60152
765	30027	45334
770	38030	57172
775	34194	52794
780	47319	72667
785	43263	64192
790	74670	99306
795	69204	88863
800	63144	93744
805	59771	85967
810	80226	121419
815	74243	117092
820	157743	234763
825	151675	233311
830	179415	283874
835	113348	185255
840	118732	205578
845	100167	169432
850	157299	261713
855	101402	175045
860	121082	207043
865	115448	201739
870	159556	281875
875	130857	223301
880	109075	196921
885	54990	103409
890	58171	113865
895	49426	90802
900	54384	102543
905	51820	86809
910	52310	90124
915	30529	56870
920	34489	63265
925	27915	51861
930	29533	54724
935	25288	45099
940	34237	60068
945	26595	47652
950	35100	62326
955	33761	56754
960	44147	77629
965	41408	75744
970	71648	121731
975	73481	122062
980	81543	152107
985	67659	125195
990	99741	175520
995	73333	143961
1000	85130	176370
1005	72521	152319
1010	111144	230105
1015	132723	255633
1020	241179	471155
1025	107990	223420
1030	89680	196941
1035	56271	136274
1040	71903	171907
1045	60786	150516
1050	74916	179209
1055	52895	125592
1060	63266	155329
1065	51690	112788
1070	42314	98108
1075	26464	64029
1080	32676	81275
1085	23434	57176
1090	25778	61881
1095	20210	46630
1100	24006	55246
1105	18971	42818
1110	23327	54013
1115	20935	47740
1120	28929	65694
1125	27319	59862
1130	45935	87700
1135	39149	79173
1140	40969	92121
1145	37260	88802
1150	51915	125510
1155	48653	118791
1160	97128	215603
1165	88124	201965
1170	103318	245805
1175	69020	168365
1180	76261	187578
1185	61555	161588
1190	92518	261882
1195	63239	185983
1200	40172	114684
