fragment_length_bp	global_count	cdr_count	noncdr_count
50	802	12	790
51	824	9	815
52	892	20	872
53	915	11	904
54	815	21	794
55	802	30	772
56	1026	29	997
57	1104	31	1073
58	888	33	855
59	1050	36	1014
60	1006	36	970
61	1011	52	959
62	1119	72	1047
63	1238	93	1145
64	1617	145	1472
65	1466	148	1318
66	1975	222	1753
67	2018	284	1734
68	1973	244	1729
69	2057	270	1787
70	2190	296	1894
71	2281	293	1988
72	2060	281	1779
73	2456	377	2079
74	2306	314	1992
75	2405	325	2080
76	2085	285	1800
77	2380	329	2051
78	2473	383	2090
79	2828	426	2402
80	3208	570	2638
81	2819	440	2379
82	2748	404	2344
83	2644	370	2274
84	2630	404	2226
85	3631	665	2966
86	3295	529	2766
87	3354	546	2808
88	3360	500	2860
89	4174	699	3475
90	4008	698	3310
91	4201	688	3513
92	3876	628	3248
93	4942	930	4012
94	4990	953	4037
95	5438	997	4441
96	5721	1052	4669
97	7297	1465	5832
98	6858	1395	5463
99	14397	3522	10875
100	19988	4274	15714
101	17352	3630	13722
102	29003	6421	22582
103	28890	6263	22627
104	27373	6134	21239
105	28504	6615	21889
106	39440	8768	30672
107	41977	9961	32016
108	47149	11348	35801
109	86459	18797	67662
110	63357	14546	48811
111	44791	10961	33830
112	52824	12056	40768
113	74617	17725	56892
114	87198	19279	67919
115	97336	21302	76034
116	91426	21600	69826
117	87676	20851	66825
118	94406	23507	70899
119	88996	21965	67031
120	83946	20503	63443
121	100506	25242	75264
122	117753	29205	88548
123	131533	33560	97973
124	139119	34325	104794
125	160175	41115	119060
126	202772	50938	151834
127	155240	38830	116410
128	176412	45096	131316
129	176121	45954	130167
130	177473	46698	130775
131	162087	41427	120660
132	156994	41857	115137
133	212205	55892	156313
134	158566	40001	118565
135	120989	31212	89777
136	83170	22221	60949
137	91941	25259	66682
138	91045	24939	66106
139	67297	17912	49385
140	68519	19047	49472
141	48227	13514	34713
142	37593	10171	27422
143	24077	6735	17342
144	15240	4163	11077
145	15101	3949	11152
146	7853	2012	5841
147	7857	2334	5523
148	4167	1092	3075
149	2363	633	1730
150	1197	291	906
151	611	189	422
152	294	74	220
153	203	61	142
154	123	32	91
155	85	22	63
156	96	19	77
157	92	23	69
158	100	26	74
159	54	13	41
160	39	6	33
161	42	10	32
162	51	9	42
163	39	2	37
164	51	7	44
165	37	7	30
166	44	10	34
167	25	10	15
168	22	7	15
169	18	6	12
170	18	4	14
171	16	8	8
172	10	3	7
173	17	0	17
174	11	4	7
175	19	8	11
176	15	6	9
177	11	3	8
178	9	2	7
179	11	3	8
180	9	3	6
181	12	7	5
182	11	4	7
183	5	1	4
184	3	1	2
185	8	2	6
186	5	1	4
187	4	0	4
188	5	2	3
189	5	1	4
190	5	2	3
191	9	2	7
192	4	1	3
193	7	1	6
194	2	0	2
195	1	1	0
196	2	2	0
197	2	1	1
198	0	0	0
199	4	0	4
200	4	1	3
201	0	0	0
202	3	2	1
203	3	1	2
204	2	0	2
205	0	0	0
206	1	0	1
207	2	1	1
208	4	0	4
209	1	1	0
210	2	0	2
211	2	1	1
212	1	1	0
213	2	0	2
214	1	0	1
215	0	0	0
216	1	0	1
217	2	1	1
218	0	0	0
219	0	0	0
220	1	1	0
221	2	0	2
222	2	1	1
223	0	0	0
224	2	1	1
225	1	0	1
226	1	0	1
227	0	0	0
228	3	0	3
229	2	1	1
230	0	0	0
231	2	1	1
232	1	0	1
233	2	1	1
234	0	0	0
235	3	1	2
236	0	0	0
237	3	2	1
238	0	0	0
239	0	0	0
240	1	0	1
241	0	0	0
242	1	1	0
243	1	1	0
244	2	1	1
245	1	0	1
246	2	1	1
247	2	1	1
248	1	0	1
249	1	0	1
250	4	1	3
251	1	1	0
252	1	0	1
253	1	0	1
254	0	0	0
255	0	0	0
256	1	0	1
257	0	0	0
258	0	0	0
259	3	0	3
260	1	1	0
261	0	0	0
262	0	0	0
263	3	1	2
264	0	0	0
265	1	0	1
266	1	0	1
267	0	0	0
268	2	1	1
269	0	0	0
270	0	0	0
271	1	0	1
272	0	0	0
273	1	1	0
274	0	0	0
275	2	1	1
276	1	1	0
277	2	0	2
278	1	0	1
279	2	1	1
280	1	0	1
281	0	0	0
282	1	0	1
283	1	0	1
284	0	0	0
285	3	0	3
286	3	0	3
287	0	0	0
288	0	0	0
289	1	0	1
290	0	0	0
291	1	1	0
292	0	0	0
293	1	0	1
294	0	0	0
295	0	0	0
296	0	0	0
297	1	1	0
298	0	0	0
299	0	0	0
300	0	0	0
301	0	0	0
302	0	0	0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	0	0	0
308	1	0	1
309	0	0	0
310	0	0	0
311	0	0	0
312	0	0	0
313	0	0	0
314	1	0	1
