fragment_length_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
30	0	0	16	0	0
31	0	0	7	0	0
32	0	0	17	0	0
33	0	0	26	0	0
34	0	0	29	0	0
35	0	1	38	0	0
36	1	1	41	0	0
37	0	2	52	0	0
38	0	0	59	0	0
39	1	0	81	0	0
40	1	1	48	0	0
41	0	0	56	0	0
42	3	1	63	0	0
43	1	1	63	0	0
44	0	3	61	0	0
45	2	4	96	0	0
46	1	1	102	0	0
47	0	5	108	0	0
48	4	7	141	0	0
49	3	9	142	0	0
50	3	6	136	0	0
51	5	7	133	0	0
52	2	7	120	0	0
53	2	6	119	0	0
54	3	16	133	0	0
55	7	10	139	0	0
56	6	13	167	0	0
57	7	8	154	0	0
58	11	14	216	0	0
59	10	9	286	0	0
60	3	18	296	0	0
61	8	14	233	0	0
62	13	14	220	0	0
63	14	17	184	0	0
64	19	29	241	0	0
65	15	25	220	0	0
66	26	26	209	0	0
67	20	42	278	0	0
68	28	37	281	0	0
69	36	28	334	0	0
70	24	36	304	0	0
71	40	42	282	0	0
72	34	35	257	0	0
73	40	35	261	0	0
74	29	47	278	0	0
75	31	34	260	0	0
76	27	40	272	0	0
77	35	43	315	0	0
78	46	68	319	0	0
79	34	67	415	0	0
80	60	70	380	0	0
81	35	65	400	0	0
82	35	57	339	0	0
83	55	55	332	0	0
84	34	53	337	0	0
85	44	62	338	0	0
86	63	60	382	0	0
87	57	79	391	0	0
88	61	87	459	0	0
89	88	103	484	0	0
90	78	112	504	0	0
91	93	126	484	0	0
92	77	112	440	0	0
93	83	144	395	0	0
94	76	147	370	0	0
95	107	139	356	0	0
96	109	134	337	0	0
97	111	150	370	0	0
98	140	140	402	0	0
99	216	255	428	0	0
100	335	317	453	0	0
101	278	283	441	0	0
102	482	414	431	0	0
103	438	445	438	0	0
104	487	406	382	0	0
105	465	480	418	0	0
106	699	564	322	0	0
107	673	576	358	0	0
108	792	593	416	0	0
109	1429	1096	468	0	0
110	1107	813	486	0	0
111	816	587	453	0	0
112	915	639	401	0	0
113	1234	897	388	0	0
114	1460	934	396	0	0
115	1621	1117	390	0	0
116	1523	975	386	0	0
117	1508	1010	370	0	0
118	1656	999	404	0	0
119	1557	969	388	0	0
120	1441	998	398	0	0
121	1881	1120	412	0	0
122	2132	1386	411	0	0
123	2338	1614	405	0	0
124	2442	1761	379	0	0
125	2851	2035	343	0	0
126	3632	2407	349	0	0
127	2830	2095	309	0	0
128	3274	2328	347	0	0
129	3169	2422	345	0	0
130	3244	2740	354	0	0
131	3022	2682	385	0	0
132	2958	2787	352	0	0
133	3731	4165	361	0	0
134	2950	3447	323	0	0
135	2241	2766	333	0	0
136	1625	2146	326	0	0
137	1710	2341	321	0	0
138	1691	2382	318	0	0
139	0	0	0	0	0
140	0	0	0	0	0
141	0	0	0	0	0
142	0	0	0	0	0
143	0	0	0	0	0
144	0	0	0	0	0
145	0	0	0	0	0
146	0	0	0	0	0
147	0	0	0	0	0
148	0	0	0	0	0
149	0	0	0	0	0
