fragment_length_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
20	0	47	129	27	1
21	0	22	93	14	0
22	0	26	51	16	0
23	0	17	40	9	0
24	0	15	52	13	1
25	0	16	48	10	0
26	0	18	60	10	0
27	0	30	74	17	0
28	0	27	89	13	0
29	0	18	80	20	0
30	5	17	55	13	0
31	1	25	77	20	0
32	1	27	84	15	0
33	1	28	103	20	0
34	0	19	54	10	1
35	2	12	55	17	1
36	4	21	57	13	1
37	4	32	77	25	0
38	4	28	80	19	0
39	4	28	63	8	1
40	5	17	64	25	0
41	2	16	80	14	1
42	4	20	77	14	1
43	6	15	82	11	0
44	0	14	54	16	0
45	4	23	52	6	0
46	2	21	61	9	1
47	8	16	69	12	0
48	3	21	58	13	1
49	16	21	47	14	0
50	18	13	57	15	0
51	12	15	60	11	0
52	10	22	56	12	0
53	11	26	78	19	0
54	26	34	63	12	2
55	13	29	47	16	0
56	23	24	55	13	0
57	18	20	50	13	0
58	16	12	62	19	0
59	13	21	72	17	0
60	12	19	101	14	1
61	16	33	61	11	2
62	22	22	65	9	0
63	26	37	63	8	1
64	35	49	82	15	2
65	33	42	82	22	0
66	38	44	57	18	0
67	23	60	51	9	2
68	38	53	61	12	1
69	30	45	49	6	1
70	33	50	73	12	0
71	52	59	65	14	1
72	37	45	46	12	1
73	47	55	66	8	3
74	41	60	75	19	0
75	43	64	81	18	1
76	34	51	68	12	0
77	39	55	70	9	0
78	48	65	62	12	2
79	46	69	75	13	0
80	54	84	82	12	1
81	49	77	85	11	0
82	42	66	67	14	1
83	56	48	59	15	0
84	48	62	60	9	0
85	59	68	67	15	0
86	60	66	62	10	0
87	66	80	66	13	2
88	75	68	65	11	0
89	81	91	78	14	2
90	69	84	68	15	2
91	90	86	90	25	3
92	69	86	64	23	1
93	98	104	62	23	4
94	67	127	80	26	1
95	105	108	53	20	2
96	113	118	72	25	1
97	125	135	75	27	3
98	121	131	61	19	3
99	249	281	71	24	2
100	374	370	76	25	2
101	328	304	48	17	3
102	572	477	64	35	5
103	538	469	61	35	4
104	546	478	71	24	5
105	547	515	71	34	7
106	811	634	58	37	2
107	773	645	59	42	5
108	920	662	61	25	3
109	1721	1315	67	32	1
110	1287	938	64	38	5
111	920	660	75	39	4
112	1045	690	64	25	4
113	1468	1031	67	35	3
114	1706	1101	72	41	5
115	1907	1305	69	49	3
116	1792	1152	50	49	6
117	1758	1129	62	34	4
118	1934	1160	66	38	2
119	1785	1077	68	55	3
120	1654	1076	87	57	4
121	2075	1279	60	59	6
122	2386	1513	77	66	7
123	2633	1670	61	55	4
124	2714	1805	65	49	3
125	3135	2075	66	44	7
126	4049	2554	55	44	16
127	3053	2009	59	57	12
128	3544	2285	53	42	6
129	3448	2396	49	56	8
130	3483	2715	54	64	3
131	3234	2636	76	63	1
132	3184	2675	57	49	3
133	4158	4333	55	71	10
134	3194	3366	54	57	6
135	2361	2574	40	68	4
136	1611	1817	34	60	8
137	1790	2130	42	76	9
138	1826	2231	50	62	4
139	1349	1908	53	54	6
140	1281	2136	43	53	7
141	930	1706	42	69	5
142	790	1387	39	56	5
143	485	985	47	64	6
144	288	699	42	77	5
145	260	663	41	63	11
146	160	514	34	81	9
147	160	489	39	72	15
148	74	374	34	70	15
149	49	215	41	79	11
150	19	161	50	79	11
151	9	93	48	71	10
152	7	50	34	71	12
153	3	49	30	88	10
154	2	41	29	81	13
155	3	26	30	80	10
156	1	21	39	86	11
157	1	30	44	109	15
158	3	25	29	120	15
159	0	21	37	91	13
160	1	16	34	106	10
161	1	15	42	106	12
162	1	9	39	119	16
163	0	9	30	122	16
164	2	13	39	120	8
165	0	8	43	102	16
166	1	13	34	117	9
167	0	10	35	102	14
168	1	15	33	97	12
