lag_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
1	11682	8507	9734	4380	0
2	10943	7680	9464	4052	0
3	7070	5804	9102	4037	0
4	6990	5203	9115	4085	0
5	7709	5719	9168	3969	0
6	5181	4163	8648	3699	0
7	4150	3162	8365	3507	0
8	3786	3612	8332	3329	0
9	4517	2957	7962	3352	0
10	4135	3339	7976	3273	0
11	2278	2387	7968	3141	0
12	3111	2473	7529	3047	0
13	2383	2341	7438	2928	0
14	1776	1477	7108	2848	0
15	1194	1333	6970	2832	0
16	1009	1053	6718	2853	0
17	831	1096	6675	2719	0
18	754	963	6451	2654	0
19	714	828	6552	2787	0
20	632	816	6276	2785	0
21	580	753	6339	2713	0
22	490	648	6190	2575	0
23	526	619	6072	2620	0
24	489	640	5876	2644	0
25	517	617	5559	2656	0
26	490	633	5873	2508	0
27	428	609	5836	2595	0
28	500	584	5620	2591	0
29	486	586	5462	2525	0
30	479	508	5310	2564	0
31	452	490	5378	2400	0
32	415	513	5206	2380	0
33	461	492	5236	2419	0
34	402	502	5113	2359	0
35	428	448	4987	2322	0
36	407	439	5043	2246	0
37	394	469	4924	2354	0
38	403	466	4845	2275	0
39	427	463	4770	2418	0
40	322	442	4870	2216	0
41	366	465	4800	2135	0
42	354	392	4852	2128	0
43	327	418	4616	2059	0
44	359	390	4819	2027	0
45	346	345	4643	1888	0
46	343	376	4387	1855	0
47	349	349	4507	1941	0
48	320	353	4388	1893	0
49	351	343	4448	1797	0
50	294	375	4240	1734	0
51	285	359	4119	1767	0
52	265	352	4047	1816	0
53	283	343	4184	1824	0
54	273	304	4084	1770	0
55	258	302	4179	1796	0
56	228	280	3919	1884	0
57	217	301	4016	1828	0
58	231	309	3867	1839	0
59	197	248	3871	1906	0
60	217	258	3765	1800	0
61	233	246	3645	1760	0
62	209	262	3639	1819	0
63	189	257	3536	1795	0
64	197	236	3600	1691	0
65	207	214	3428	1745	0
66	192	238	3552	1780	0
67	171	221	3582	1672	0
68	187	222	3441	1688	0
69	155	224	3478	1643	0
70	167	230	3482	1669	0
71	180	229	3506	1606	0
72	181	216	3368	1542	0
73	186	205	3329	1701	0
74	141	213	3302	1673	0
75	163	249	3472	1768	0
76	129	216	3345	1703	0
77	149	200	3343	1675	0
78	167	234	3334	1814	0
79	146	195	3253	1693	0
80	144	188	3345	1713	0
81	140	208	3382	1727	0
82	154	185	3603	1735	0
83	158	175	3379	1736	0
84	128	224	3447	1683	0
85	141	206	3580	1728	0
86	143	215	3428	1778	0
87	137	250	3641	1782	0
88	136	209	3540	1770	0
89	144	192	3785	1695	0
90	166	216	3542	1804	0
91	169	211	3704	1737	0
92	188	220	3587	1721	0
93	180	229	3733	1715	0
94	168	244	3680	1720	0
95	151	212	3701	1715	0
96	169	239	3700	1731	0
97	144	228	3814	1762	0
98	154	230	3792	1735	0
99	168	222	3925	1612	0
100	156	236	3823	1690	0
101	179	233	3734	1605	0
102	184	222	3893	1615	0
103	190	221	3879	1600	0
104	211	234	3946	1552	0
105	201	252	3682	1576	0
106	207	281	3744	1586	0
107	215	250	3980	1559	0
108	181	251	4228	1598	0
109	205	278	4005	1600	0
110	190	262	4166	1639	0
111	201	277	4095	1582	0
112	191	301	4134	1744	0
113	167	280	3947	1680	0
114	159	237	3764	1692	0
115	169	266	3844	1647	0
116	134	254	3730	1651	0
117	160	274	3677	1628	0
118	163	283	3508	1548	0
119	154	262	3477	1504	0
120	171	266	3388	1488	0
121	186	248	3342	1647	0
122	178	268	3352	1409	0
123	220	272	3140	1286	0
124	238	271	3256	1320	0
125	242	269	3256	1375	0
126	221	275	3280	1341	0
127	224	270	3198	1267	0
128	262	325	3175	1248	0
129	230	322	3346	1329	0
130	306	320	3231	1366	0
131	274	310	3318	1247	0
132	298	350	3121	1289	0
133	312	348	3281	1371	0
134	289	358	3290	1321	0
135	303	421	3478	1326	0
136	333	419	3555	1412	0
137	362	426	3672	1386	0
138	368	436	3658	1238	0
139	358	435	3557	1361	0
140	404	492	3563	1377	0
141	398	467	3487	1334	0
142	423	556	3501	1163	0
143	437	531	3494	1197	0
144	388	570	3364	1224	0
145	367	608	3298	1247	0
146	434	654	3351	1180	0
