fragment_length_bp	global_total	mapq_0_multimappers	mapq_ge20_unique
60	1006	654	352
61	1011	657	354
62	1119	727	392
63	1238	805	433
64	1617	1051	566
65	1466	953	513
66	1975	1284	691
67	2018	1312	706
68	1973	1282	691
69	2057	1337	720
70	2190	1424	766
71	2281	1483	798
72	2060	1339	721
73	2456	1596	860
74	2306	1499	807
75	2405	1563	842
76	2085	1355	730
77	2380	1547	833
78	2473	1607	866
79	2828	1838	990
80	3208	2085	1123
81	2819	1832	987
82	2748	1786	962
83	2644	1719	925
84	2630	1710	920
85	3631	2360	1271
86	3295	2142	1153
87	3354	2180	1174
88	3360	2184	1176
89	4174	2713	1461
90	4008	2605	1403
91	4201	2731	1470
92	3876	2519	1357
93	4942	3212	1730
94	4990	3244	1746
95	5438	3535	1903
96	5721	3719	2002
97	7297	4743	2554
98	6858	4458	2400
99	14397	9358	5039
100	19988	12992	6996
101	17352	11279	6073
102	29003	18852	10151
103	28890	18778	10112
104	27373	17792	9581
105	28504	18528	9976
106	39440	25636	13804
107	41977	27285	14692
108	47149	30647	16502
109	86459	56198	30261
110	63357	41182	22175
111	44791	29114	15677
112	52824	34336	18488
113	74617	48501	26116
114	87198	56679	30519
115	97336	63268	34068
116	91426	59427	31999
117	87676	56989	30687
118	94406	61364	33042
119	88996	57847	31149
120	83946	54565	29381
121	100506	65329	35177
122	117753	76539	41214
123	131533	85496	46037
124	139119	90427	48692
125	160175	104114	56061
126	202772	131802	70970
127	155240	100906	54334
128	176412	114668	61744
129	176121	114479	61642
130	177473	115357	62116
131	162087	105357	56730
132	156994	102046	54948
133	212205	137933	74272
134	158566	103068	55498
135	120989	78643	42346
136	83170	54060	29109
137	91941	59762	32179
138	91045	59179	31866
139	67297	43743	23554
140	68519	44537	23982
141	48227	31348	16879
142	37593	24435	13158
143	24077	15650	8427
144	15240	9906	5334
145	15101	9816	5285
146	7853	5104	2749
147	7857	5107	2750
148	4167	2709	1458
149	2363	1536	827
150	1197	778	419
151	611	397	214
152	294	191	103
153	203	132	71
154	123	80	43
155	85	55	30
156	96	62	34
157	92	60	32
158	100	65	35
159	54	35	19
160	39	25	14
161	42	27	15
162	51	33	18
163	39	25	14
164	51	33	18
165	37	24	13
166	44	29	15
167	25	16	9
168	22	14	8
169	18	12	6
170	18	12	6
171	16	10	6
172	10	6	4
173	17	11	6
174	11	7	4
175	19	12	7
176	15	10	5
177	11	7	4
178	9	6	3
179	11	7	4
180	9	6	3
181	12	8	4
182	11	7	4
183	5	3	2
184	3	2	1
185	8	5	3
186	5	3	2
187	4	3	1
188	5	3	2
189	5	3	2
190	5	3	2
191	9	6	3
192	4	3	1
193	7	5	2
194	2	1	1
195	1	1	0
196	2	1	1
197	2	1	1
198	0	0	0
199	4	3	1
200	4	3	1
201	0	0	0
202	3	2	1
203	3	2	1
204	2	1	1
205	0	0	0
206	1	1	0
207	2	1	1
208	4	3	1
209	1	1	0
210	2	1	1
211	2	1	1
212	1	1	0
213	2	1	1
214	1	1	0
215	0	0	0
216	1	1	0
217	2	1	1
218	0	0	0
219	0	0	0
220	1	1	0
221	2	1	1
222	2	1	1
223	0	0	0
224	2	1	1
225	1	1	0
226	1	1	0
227	0	0	0
228	3	2	1
229	2	1	1
230	0	0	0
231	2	1	1
232	1	1	0
233	2	1	1
234	0	0	0
235	3	2	1
236	0	0	0
237	3	2	1
238	0	0	0
239	0	0	0
240	1	1	0
241	0	0	0
242	1	1	0
243	1	1	0
244	2	1	1
245	1	1	0
246	2	1	1
247	2	1	1
248	1	1	0
249	1	1	0
250	4	3	1
