distance_to_dyad_bp	count
0	254
5	388
10	492
15	363
20	262
25	299
30	431
35	415
40	604
45	623
50	755
55	1392
60	2009
65	2125
70	1189
75	1425
80	941
85	1093
90	4947
95	1736
100	1535
105	1178
110	753
115	552
120	506
125	591
130	530
135	372
140	284
145	234
150	340
155	341
160	467
165	341
170	145
175	147
180	132
185	131
190	93
195	126
200	109
205	198
210	196
215	256
220	192
225	300
230	421
235	595
240	988
245	1198
250	559
255	368
260	538
265	474
270	594
275	470
280	322
285	205
290	167
295	160
300	16
