distance_bp	cdr_count	noncdr_count
0	232	1780426
5	49	1676992
10	37	1106565
15	13	542761
20	15	432776
25	16	248177
30	18	240085
35	14	151721
40	5	138448
45	10	87063
50	15	89460
55	13	63554
60	8	67462
65	4	47849
70	6	51945
75	8	38128
80	9	41902
85	2	32754
90	8	37082
95	4	26711
100	9	30741
105	4	23896
110	10	26300
115	7	20104
120	10	22763
125	6	18945
130	6	21491
135	8	16742
140	8	20510
145	14	17293
150	14	22398
155	10	19951
160	17	25313
165	18	20012
170	11	23932
175	13	19744
180	30	22331
185	13	17032
190	10	17327
195	15	13113
200	48	15674
205	11	11687
210	11	14243
215	8	10820
220	3	12335
225	6	10230
230	7	13510
235	4	11164
240	6	12816
245	7	9884
250	11	10404
255	9	7758
260	13	8628
265	5	6276
270	12	7014
275	6	6005
280	11	7578
285	3	6113
290	11	7284
295	7	5847
300	11	6703
305	8	5403
310	36	6728
315	49	5055
320	19	6405
325	7	5059
330	12	6089
335	13	5061
340	26	6307
345	16	5088
350	22	6240
355	9	4884
360	8	5583
365	18	4921
370	15	5657
375	13	4580
380	11	5708
385	5	4912
390	6	6301
395	6	5838
400	6	7171
405	4	5653
410	10	6782
415	14	5367
420	7	5761
425	1	3852
430	21	4608
435	9	3858
440	8	4499
445	5	3769
450	8	5026
455	9	3999
460	9	4939
465	13	3987
470	8	4861
475	13	3895
480	13	5253
485	14	3795
490	14	6016
495	18	3173
500	25	3926
505	9	3292
510	19	4180
515	15	3570
520	22	4403
525	12	3280
530	9	4083
535	14	3591
540	12	4888
545	9	4675
550	7	5490
555	9	4488
560	10	4660
565	9	3375
570	5	3439
575	6	2811
580	14	3742
585	6	3339
590	7	3467
595	5	2511
600	13	2928
605	3	2662
610	4	2986
615	6	2413
620	6	3118
625	8	2654
630	9	3469
635	5	2848
640	6	3658
645	6	3103
650	12	3595
655	4	2835
660	14	3126
665	18	2423
670	18	3159
675	14	2906
680	24	3505
685	18	2809
690	16	3390
695	13	2595
700	11	3282
705	10	2597
710	17	3065
715	11	2533
720	11	3073
725	8	2233
730	5	2423
735	8	2053
740	10	2590
745	9	2057
750	13	2618
755	6	2153
760	8	2510
765	2	1882
770	11	2550
775	7	1984
780	6	2220
785	7	1791
790	10	2377
795	7	1882
800	7	2219
805	2	1816
810	10	2445
815	8	1876
820	9	2375
825	16	2308
830	11	2838
835	8	2691
840	15	3279
845	16	2016
850	27	2316
855	16	1978
860	15	2287
865	13	1859
870	10	2261
875	19	1960
880	15	2304
885	9	1859
890	15	2402
895	8	1959
900	10	2488
905	6	1995
910	8	2484
915	7	1882
920	6	2555
925	9	2077
930	10	2382
935	3	1878
940	8	2287
945	9	2049
950	9	2684
955	7	2261
960	5	2720
965	3	2253
970	6	2691
975	9	2232
980	13	2743
985	14	2521
990	10	3362
995	15	3504
1000	22	3129
1005	10	2667
1010	16	3502
1015	22	2826
1020	28	3114
1025	14	2316
1030	13	2637
1035	7	1900
1040	15	2383
1045	14	2053
1050	20	2470
1055	11	2050
1060	12	2352
1065	9	2000
1070	7	2404
1075	5	2098
1080	10	2403
1085	6	1884
1090	8	2334
1095	6	1884
1100	12	2291
1105	4	1906
1110	7	2494
1115	8	2247
1120	11	2533
1125	6	2041
1130	4	2368
1135	5	2002
1140	5	2414
1145	5	1941
1150	16	2124
1155	9	1691
1160	9	2150
1165	11	1765
1170	18	1970
1175	11	1642
1180	18	1991
1185	14	1645
1190	23	2041
1195	10	1749
1200	8	1168
