fragment_length_bp	global_count	cdr_count	noncdr_count
50	1666	0	1666
51	1589	3	1586
52	1712	0	1712
53	1876	0	1876
54	1558	1	1557
55	1389	0	1389
56	1623	0	1623
57	1694	1	1693
58	1307	1	1306
59	1475	0	1475
60	1387	0	1387
61	1341	1	1340
62	1268	0	1268
63	1348	0	1348
64	1401	2	1399
65	1201	3	1198
66	1185	0	1185
67	1189	0	1189
68	1196	0	1196
69	1303	2	1301
70	1227	0	1227
71	1248	0	1248
72	1082	1	1081
73	1149	1	1148
74	1411	1	1410
75	1212	1	1211
76	1220	0	1220
77	1181	2	1179
78	1305	0	1305
79	1152	0	1152
80	1337	0	1337
81	1320	0	1320
82	1437	2	1435
83	1403	1	1402
84	1312	0	1312
85	1362	0	1362
86	1309	0	1309
87	1239	0	1239
88	1420	1	1419
89	1453	4	1449
90	1609	2	1607
91	1324	3	1321
92	1426	1	1425
93	1374	3	1371
94	1269	0	1269
95	1473	2	1471
96	1287	1	1286
97	1313	3	1310
98	1407	1	1406
99	1562	0	1562
100	1627	1	1626
101	1548	1	1547
102	1909	0	1909
103	1411	1	1410
104	1653	2	1651
105	1433	1	1432
106	1534	4	1530
107	1453	1	1452
108	1369	3	1366
109	1481	4	1477
110	1590	8	1582
111	1560	4	1556
112	1570	2	1568
113	1485	3	1482
114	1364	5	1359
115	1612	6	1606
116	1477	4	1473
117	1337	5	1332
118	1342	12	1330
119	1522	6	1516
120	1576	6	1570
121	1624	6	1618
122	1732	8	1724
123	1775	4	1771
124	1889	10	1879
125	2245	20	2225
126	2052	23	2029
127	2245	24	2221
128	2430	24	2406
129	2578	17	2561
130	2574	15	2559
131	2682	18	2664
132	2804	32	2772
133	3120	39	3081
134	3087	24	3063
135	3130	37	3093
136	3105	32	3073
137	2832	34	2798
138	3239	56	3183
139	3362	32	3330
140	3518	58	3460
141	3392	41	3351
142	3715	30	3685
143	4468	64	4404
144	6410	87	6323
145	8455	185	8270
146	9850	144	9706
147	10507	179	10328
148	11784	198	11586
149	11557	204	11353
150	11199	223	10976
151	10225	195	10030
152	9521	218	9303
153	8514	197	8317
154	7877	160	7717
155	6719	124	6595
156	5176	106	5070
157	4378	108	4270
158	3804	62	3742
159	3348	57	3291
160	2817	49	2768
161	2301	54	2247
162	1585	48	1537
163	1162	23	1139
164	985	27	958
165	759	14	745
166	490	10	480
167	322	5	317
168	232	5	227
169	182	5	177
170	132	1	131
171	81	0	81
172	35	1	34
173	39	0	39
174	32	1	31
175	31	1	30
176	35	1	34
177	26	0	26
178	17	0	17
179	16	0	16
180	14	0	14
181	20	0	20
182	9	0	9
183	8	1	7
184	13	0	13
185	10	0	10
186	8	0	8
187	4	0	4
188	7	0	7
189	5	0	5
190	6	1	5
191	5	0	5
192	5	0	5
193	4	0	4
194	7	0	7
195	3	0	3
196	1	0	1
197	3	0	3
198	3	0	3
199	8	0	8
200	5	0	5
201	3	0	3
202	6	1	5
203	5	0	5
204	3	0	3
205	0	0	0
206	3	0	3
207	0	0	0
208	3	0	3
209	3	0	3
210	3	0	3
211	2	0	2
212	3	0	3
213	3	1	2
214	1	0	1
215	3	0	3
216	0	0	0
217	1	0	1
218	2	0	2
219	0	0	0
220	0	0	0
221	1	0	1
222	3	0	3
223	0	0	0
224	1	0	1
225	1	0	1
226	0	0	0
227	2	0	2
228	0	0	0
229	1	0	1
230	1	0	1
231	1	0	1
232	1	0	1
233	1	0	1
234	0	0	0
235	3	0	3
236	2	0	2
237	0	0	0
238	1	0	1
239	3	0	3
240	2	0	2
241	2	0	2
242	2	0	2
243	0	0	0
244	1	0	1
245	1	0	1
246	1	0	1
247	1	0	1
248	3	0	3
249	0	0	0
250	1	0	1
251	3	0	3
252	1	0	1
253	1	0	1
254	1	0	1
255	2	0	2
256	1	0	1
257	3	0	3
258	1	0	1
259	2	0	2
260	1	0	1
261	2	0	2
262	0	0	0
263	1	0	1
264	1	0	1
265	1	0	1
266	0	0	0
267	0	0	0
268	0	0	0
269	2	0	2
270	0	0	0
271	0	0	0
272	1	0	1
273	1	0	1
274	0	0	0
275	1	0	1
276	1	0	1
277	0	0	0
278	0	0	0
279	2	0	2
280	3	0	3
281	4	0	4
282	2	1	1
283	0	0	0
284	3	0	3
285	0	0	0
286	0	0	0
287	1	0	1
288	4	0	4
289	0	0	0
290	1	0	1
291	0	0	0
292	0	0	0
293	2	0	2
294	2	0	2
295	2	0	2
296	0	0	0
297	4	0	4
298	1	0	1
299	1	0	1
300	1	0	1
301	2	0	2
302	0	0	0
303	0	0	0
304	2	0	2
305	1	0	1
306	0	0	0
307	0	0	0
308	1	0	1
309	1	0	1
310	2	0	2
311	0	0	0
312	0	0	0
313	3	0	3
314	2	0	2
315	0	0	0
316	0	0	0
317	1	0	1
318	2	0	2
319	1	0	1
320	0	0	0
321	0	0	0
322	2	0	2
323	0	0	0
324	0	0	0
325	1	0	1
326	1	0	1
327	2	0	2
328	0	0	0
329	1	0	1
330	0	0	0
331	0	0	0
332	0	0	0
333	1	0	1
334	1	0	1
335	1	0	1
336	2	0	2
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	1	0	1
342	0	0	0
343	0	0	0
344	1	0	1
345	1	0	1
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	1	0	1
354	1	0	1
355	0	0	0
356	0	0	0
357	0	0	0
