lag_bp	model_a_alternating_bulk	model_b_mixture_bulk
0	940	0
5	1473	915
10	0	264
15	4640	1200
20	1460	1179
25	0	1150
30	1499	515
35	4596	712
40	0	1196
45	0	1179
50	4614	1050
55	1476	288
60	0	1035
65	1525	1192
70	4560	795
75	0	384
80	1538	1190
85	3050	1179
90	1492	900
95	0	510
100	4575	957
105	1500	1186
110	0	1179
115	1564	800
120	4506	408
125	0	1155
130	0	1182
135	4549	675
140	1516	504
145	0	1180
150	1590	1203
155	4470	650
160	0	553
165	1577	1152
170	2920	1176
175	1532	1151
180	0	574
185	4500	624
190	1540	1198
195	0	1172
200	1551	525
205	4476	648
210	0	1170
215	0	1148
220	4506	423
225	1508	768
230	0	1169
235	1525	1166
240	4476	954
245	0	513
250	1512	864
255	3000	1165
260	1476	1162
265	0	400
270	4515	763
275	1460	1160
280	0	1023
285	1486	288
290	4476	1008
295	0	1159
300	0	1156
305	4521	709
310	1428	498
315	0	1104
320	1460	1155
325	4476	1152
330	0	275
335	1468	878
340	3080	1200
345	1396	898
350	0	253
355	4524	1152
360	1380	1149
365	0	1104
370	1484	510
375	4401	683
380	0	1148
385	0	1145
390	4476	1008
395	1390	288
400	0	993
405	1500	1144
410	4347	773
415	0	368
420	1508	1142
425	2920	1139
430	1400	864
435	0	495
440	4404	918
445	1405	1138
450	0	1135
455	1524	768
460	4266	393
465	0	1108
470	0	1134
475	4356	648
480	1415	483
485	0	1132
490	1540	1154
495	4212	624
500	0	530
505	1524	1105
510	2760	1128
515	1425	1104
520	0	551
525	4278	598
530	1430	1149
535	0	1124
540	1492	504
545	4193	621
550	0	1122
555	0	1101
560	4266	406
565	1396	736
570	0	1121
575	1460	1118
580	4179	915
585	0	492
590	1444	828
595	2810	1117
600	1362	1114
605	0	384
610	4248	731
615	1345	1112
620	0	981
625	1412	276
630	4158	966
635	0	1111
640	0	1108
645	4236	680
650	1311	477
655	0	1058
660	1380	1107
665	4144	1104
670	0	264
675	1385	841
680	2860	1150
685	1277	861
690	0	242
695	4216	1104
700	1260	1101
705	0	1058
710	1395	489
715	4056	654
720	0	1100
725	0	1097
730	4158	966
735	1268	276
740	0	951
745	1405	1096
750	3996	741
755	0	352
760	1410	1094
765	2690	1091
770	1276	828
775	0	474
780	4071	879
785	1280	1090
790	0	1087
795	1420	736
800	2622	352
