fragment_length_bp	count	percentage_of_verified
50	5	0.0057
51	7	0.0079
52	2	0.0023
53	3	0.0034
54	5	0.0057
55	10	0.0113
56	8	0.0090
57	9	0.0102
58	12	0.0136
59	13	0.0147
60	4	0.0045
61	11	0.0124
62	16	0.0181
63	18	0.0203
64	24	0.0271
65	24	0.0271
66	35	0.0396
67	23	0.0260
68	34	0.0384
69	41	0.0463
70	41	0.0463
71	53	0.0599
72	38	0.0429
73	50	0.0565
74	40	0.0452
75	42	0.0475
76	34	0.0384
77	45	0.0509
78	54	0.0610
79	42	0.0475
80	72	0.0814
81	51	0.0576
82	47	0.0531
83	62	0.0701
84	43	0.0486
85	62	0.0701
86	72	0.0814
87	73	0.0825
88	88	0.0995
89	106	0.1198
90	101	0.1141
91	122	0.1379
92	98	0.1108
93	113	0.1277
94	102	0.1153
95	136	0.1537
96	143	0.1616
97	135	0.1526
98	170	0.1921
99	285	0.3221
100	412	0.4656
101	354	0.4001
102	628	0.7098
103	566	0.6397
104	606	0.6849
105	588	0.6645
106	865	0.9776
107	833	0.9414
108	986	1.1144
109	1794	2.0276
110	1369	1.5472
111	1009	1.1404
112	1117	1.2624
113	1561	1.7642
114	1792	2.0253
115	2022	2.2852
116	1898	2.1451
117	1891	2.1372
118	2083	2.3542
119	1955	2.2095
120	1840	2.0795
121	2298	2.5972
122	2652	2.9973
123	2942	3.3250
124	3083	3.4844
125	3581	4.0472
126	4490	5.0745
127	3558	4.0212
128	4075	4.6055
129	3938	4.4507
130	4019	4.5422
131	3792	4.2857
132	3674	4.1523
133	4644	5.2486
134	3703	4.1851
135	2789	3.1521
136	2018	2.2807
137	2112	2.3870
138	2120	2.3960
