caliper_length_bp	n_pairs	mean_tlen	median_tlen	std_tlen	exact_agreement_pct
50	2	50.00	50.0	0.00	100.00
51	3	51.00	51.0	0.00	100.00
52	1	52.00	52.0	0.00	100.00
54	2	54.00	54.0	0.00	100.00
55	6	54.50	55.0	1.12	83.33
56	2	53.50	53.5	2.50	50.00
57	6	57.00	57.0	0.00	100.00
58	5	58.00	58.0	0.00	100.00
59	7	59.00	59.0	0.00	100.00
61	7	61.00	61.0	0.00	100.00
62	10	62.00	62.0	0.00	100.00
63	12	63.00	63.0	0.00	100.00
64	17	64.00	64.0	0.00	100.00
65	15	65.00	65.0	0.00	100.00
66	29	66.00	66.0	0.00	100.00
67	14	67.00	67.0	0.00	100.00
68	27	68.00	68.0	0.00	100.00
69	22	69.00	69.0	0.00	100.00
70	28	70.04	70.0	0.19	96.43
71	42	70.95	71.0	0.30	97.62
72	26	71.92	72.0	0.38	96.15
73	40	73.00	73.0	0.00	100.00
74	30	74.00	74.0	0.00	100.00
75	31	75.00	75.0	0.00	100.00
76	25	75.40	76.0	2.94	96.00
77	28	77.00	77.0	0.00	100.00
78	37	77.68	78.0	1.95	97.30
79	34	79.00	79.0	0.00	100.00
80	46	80.00	80.0	0.00	100.00
81	38	81.00	81.0	0.00	100.00
82	31	82.03	82.0	0.18	96.77
83	45	82.67	83.0	2.21	97.78
84	32	83.84	84.0	0.87	96.88
85	44	85.00	85.0	0.00	100.00
86	47	86.00	86.0	0.00	100.00
87	58	86.93	87.0	0.41	96.55
88	59	87.86	88.0	1.03	98.31
89	67	88.96	89.0	0.36	98.51
90	52	89.31	90.0	4.94	98.08
91	77	90.04	91.0	5.11	92.21
92	53	91.58	92.0	2.73	96.23
93	78	92.83	93.0	1.25	97.44
94	60	93.72	94.0	2.18	98.33
95	94	94.86	95.0	1.01	97.87
96	102	95.64	96.0	3.65	99.02
97	105	96.68	97.0	3.21	98.10
98	117	97.25	98.0	4.35	94.02
99	230	98.78	99.0	2.22	97.83
100	354	99.91	100.0	1.14	98.87
101	308	100.78	101.0	2.37	97.40
102	554	101.84	102.0	2.05	98.01
103	500	102.75	103.0	3.12	99.00
104	523	103.61	104.0	4.06	98.28
105	507	104.69	105.0	3.55	98.82
106	767	105.77	106.0	2.86	98.70
107	730	107.00	107.0	1.18	98.90
108	875	107.89	108.0	1.97	98.97
109	1665	108.82	109.0	2.55	98.74
110	1256	109.79	110.0	2.46	98.25
111	881	110.81	111.0	3.39	98.18
112	989	111.81	112.0	2.85	98.69
113	1419	112.90	113.0	1.78	98.94
114	1636	113.85	114.0	2.31	98.78
115	1850	114.76	115.0	3.35	98.65
116	1727	115.81	116.0	3.30	98.78
117	1701	116.82	117.0	3.01	98.41
118	1877	117.75	118.0	3.67	98.67
119	1735	118.79	119.0	3.00	98.62
120	1599	119.70	120.0	3.63	98.37
121	2017	120.68	121.0	4.08	98.56
122	2321	121.62	122.0	4.32	98.49
123	2552	122.73	123.0	3.46	98.79
124	2635	123.60	124.0	4.63	98.18
125	3050	124.72	125.0	3.55	98.52
126	3928	125.80	126.0	3.11	98.98
127	2975	126.55	127.0	5.02	98.18
128	3449	127.64	128.0	4.20	98.38
129	3336	128.54	129.0	5.08	98.17
130	3402	129.57	130.0	4.78	98.35
131	3146	130.67	131.0	4.02	98.79
132	3088	131.56	132.0	5.04	98.38
133	4088	132.68	133.0	3.97	98.46
134	3108	133.76	134.0	3.41	98.78
135	2325	134.48	135.0	5.11	97.85
136	1559	135.46	136.0	5.43	98.40
137	1754	136.46	137.0	5.97	98.23
138	1782	137.71	138.0	3.89	98.32
