fragment_length_bp	total_mapped	mapq_0_multimappers	mapq_1_19_intermediate	mapq_ge20_unique
50	18	16	1	1
51	12	12	0	0
52	10	8	1	1
53	11	10	0	1
54	26	25	0	1
55	13	13	0	0
56	23	19	0	4
57	18	17	1	0
58	16	14	1	1
59	13	8	1	4
60	12	9	2	1
61	16	12	3	1
62	22	19	0	3
63	25	20	2	3
64	35	30	4	1
65	33	32	0	1
66	38	33	3	2
67	23	21	1	1
68	38	35	1	2
69	30	27	0	3
70	33	33	0	0
71	52	50	0	2
72	37	34	0	3
73	47	45	1	1
74	41	39	0	2
75	43	39	0	4
76	34	30	1	3
77	39	38	0	1
78	48	47	0	1
79	46	42	3	1
80	54	50	1	3
81	49	46	0	3
82	42	39	0	3
83	56	53	0	3
84	48	46	0	2
85	59	55	1	3
86	60	57	2	1
87	66	59	4	3
88	75	73	1	1
89	81	76	1	4
90	69	67	2	0
91	90	82	3	5
92	69	66	0	3
93	98	95	1	2
94	67	62	0	5
95	105	96	4	5
96	113	110	1	2
97	125	118	3	4
98	121	116	0	5
99	249	234	2	13
100	374	367	0	7
101	328	320	1	7
102	572	554	2	16
103	538	521	3	14
104	546	527	2	17
105	547	525	4	18
106	811	780	6	25
107	773	746	3	24
108	920	882	8	30
109	1721	1650	17	54
110	1287	1233	10	44
111	920	893	2	25
112	1045	1013	6	26
113	1468	1406	8	54
114	1706	1646	20	40
115	1907	1838	20	49
116	1792	1717	9	66
117	1758	1674	13	71
118	1934	1865	11	58
119	1785	1714	13	58
120	1654	1579	20	55
121	2075	1984	23	68
122	2386	2288	22	76
123	2633	2520	29	84
124	2714	2592	21	101
125	3135	3010	22	103
126	4049	3893	42	114
127	3053	2928	24	101
128	3544	3384	38	122
129	3448	3296	34	118
130	3483	3310	45	128
131	3234	3056	38	140
132	3184	3036	37	111
133	4158	3966	39	153
134	3194	3044	38	112
135	2361	2248	26	87
136	1611	1517	19	75
137	1790	1715	11	64
138	1826	1752	14	60
139	1349	1294	7	48
140	1281	1212	13	56
141	930	884	12	34
142	790	740	6	44
143	485	455	7	23
144	288	274	2	12
145	260	248	0	12
146	160	154	2	4
147	160	153	0	7
148	74	70	0	4
149	49	46	0	3
150	19	18	0	1
151	9	9	0	0
152	7	7	0	0
153	3	3	0	0
154	2	2	0	0
155	3	3	0	0
156	1	1	0	0
157	1	1	0	0
158	3	3	0	0
160	1	1	0	0
161	1	1	0	0
162	1	1	0	0
164	2	2	0	0
166	1	1	0	0
168	1	1	0	0
171	1	1	0	0
172	1	1	0	0
173	1	1	0	0
174	1	1	0	0
181	1	1	0	0
183	1	0	1	0
188	2	2	0	0
