chrom	hor_array_id	cdr_span_kb	flank_span_mb	cdr_reads	flank_reads	cdr_density_rp_per_kb	flank_density_rp_per_kb	fold_enrichment	cdr_mode_bp	flank_mode_bp
chr1	NC_060925.1_121796048_126300487	306.7	4.20	840	3546	2.739	0.845	3.24x	132	133
chr2	NC_060926.1_92333543_94673023	172.1	2.17	1853	2101	10.766	0.969	11.11x	133	133
chr3	NC_060927.1_91738002_92595822	211.2	0.65	1672	2273	7.916	3.515	2.25x	126	133
chr4	NC_060928.1_52115486_54870510	260.2	2.49	706	3411	2.713	1.367	1.98x	126	126
chr5	NC_060929.1_47077202_49596625	214.3	2.31	1121	3502	5.231	1.519	3.44x	134	115
chr6	NC_060930.1_58286706_61058390	156.9	2.61	1182	2954	7.532	1.130	6.67x	133	133
chr7	NC_060931.1_60414372_63714499	295.5	3.00	1208	2341	4.088	0.779	5.25x	131	134
chr8	NC_060932.1_44243546_46325080	132.4	1.95	555	3287	4.191	1.686	2.49x	126	128
chr9	NC_060933.1_44951775_47582595	146.9	2.48	561	3420	3.819	1.377	2.77x	128	128
chr10	NC_060934.1_39633793_41664589	278.3	1.75	845	2669	3.036	1.523	1.99x	129	125
chr11	NC_060935.1_51061948_54413484	249.4	3.10	1056	2636	4.234	0.850	4.98x	131	131
chr12	NC_060936.1_34620838_37202490	284.4	2.30	1642	3176	5.773	1.383	4.18x	129	129
chr13	NC_060937.1_15547593_17498291	215.8	1.73	594	2700	2.753	1.556	1.77x	133	133
chr14	NC_060938.1_10092112_12708411	195.1	2.42	607	2418	3.112	0.999	3.12x	132	130
chr15	NC_060939.1_16678794_17694466	238.8	0.78	1026	2193	4.296	2.823	1.52x	126	128
chr16	NC_060940.1_35854528_37793352	157.0	1.78	851	3026	5.422	1.698	3.19x	130	133
chr17	NC_060941.1_23892419_27486939	171.7	3.42	272	2810	1.584	0.821	1.93x	125	126
chr18	NC_060942.1_15971633_20740248	170.0	4.60	301	3114	1.771	0.677	2.62x	133	134
chr19	NC_060943.1_25832447_29749519	423.9	3.49	1961	1959	4.627	0.561	8.25x	130	109
chr20	NC_060944.1_26925852_29099655	248.9	1.92	668	2762	2.684	1.435	1.87x	133	133
chr21	NC_060945.1_10962853_11294002	144.6	0.19	1203	921	8.322	4.936	1.69x	128	128
chr22	NC_060946.1_12788180_15711065	190.2	2.73	759	2524	3.991	0.924	4.32x	133	127
chrX	NC_060947.1_57819763_60927195	158.3	2.95	486	2989	3.071	1.014	3.03x	126	130
GLOBAL	All 23 Active HOR Arrays	5022.6	55.04	21969	62732	4.374	1.140	3.84x	133	133
