chrom	N_cdr	Mono_CDR	Di_CDR	NRL_CDR	N_noncdr	Mono_NonCDR	Di_NonCDR	NRL_NonCDR	Delta_NRL
chr1	188	150	None	None	12014	150	315	165	NA
chr2	122	145	None	None	12873	145	295	150	NA
chr3	148	150	None	None	11680	145	325	180	NA
chr4	178	145	None	None	4299	145	None	None	NA
chr5	152	150	None	None	27425	145	None	None	NA
chr6	123	150	None	None	3164	150	None	None	NA
chr7	279	150	None	None	16207	150	300	150	NA
chr8	90	145	None	None	1912	145	340	195	NA
chr9	106	145	None	None	41842	145	310	165	NA
chr10	169	150	None	None	2828	150	None	None	NA
chr11	164	145	None	None	3275	150	None	None	NA
chr12	221	150	None	None	2816	150	290	140	NA
chr13	164	145	None	None	5146	145	325	180	NA
chr14	149	145	None	None	3654	145	None	None	NA
chr15	132	150	None	None	25881	145	315	170	NA
chr16	132	150	None	None	17855	145	300	155	NA
chr17	91	150	None	None	2705	150	330	180	NA
chr18	93	145	None	None	4247	145	None	None	NA
chr19	324	145	None	None	35419	145	295	150	NA
chr20	162	145	None	None	26854	145	None	None	NA
chr21	68	145	None	None	2303	145	365	220	NA
chr22	139	150	None	None	6545	145	None	None	NA
chrX	74	145	None	None	27713	145	310	165	NA
GLOBAL	3468	150	None	None	301441	145	295	150	NA
