chrom	N_cdr	Mono_CDR	Di_CDR	NRL_CDR	N_noncdr	Mono_NonCDR	Di_NonCDR	NRL_NonCDR	Delta_NRL
chr1	43439	130	290	160	179722	130	None	None	NA
chr2	93675	130	None	None	109100	130	None	None	NA
chr3	60139	130	None	None	137443	130	None	None	NA
chr4	24070	130	None	None	180320	130	None	None	NA
chr5	57875	130	None	None	184479	130	310	180	NA
chr6	56875	130	None	None	148556	130	305	175	NA
chr7	58158	130	None	None	124814	130	None	None	NA
chr8	28552	130	None	None	144590	130	None	None	NA
chr9	30291	130	None	None	188086	130	None	None	NA
chr10	40244	130	None	None	136221	130	None	None	NA
chr11	52678	130	None	None	130394	130	None	None	NA
chr12	82347	130	None	None	156792	130	None	None	NA
chr13	29517	130	295	165	139108	130	None	None	NA
chr14	32779	130	None	None	124800	130	None	None	NA
chr15	53108	130	None	None	120412	130	None	None	NA
chr16	44224	130	None	None	149973	130	None	None	NA
chr17	13665	130	None	None	132789	130	None	None	NA
chr18	14934	130	None	None	151036	130	None	None	NA
chr19	93308	130	None	None	109934	130	290	160	NA
chr20	32482	130	None	None	148563	130	None	None	NA
chr21	61168	130	None	None	47341	130	None	None	NA
chr22	37070	130	None	None	132069	130	None	None	NA
chrX	24734	130	None	None	146721	130	None	None	NA
GLOBAL	1065332	130	290	160	3224999	130	310	180	20
